Max_Rape,STATES,year
42,"ARUNACHAL PRADESH",2004
1171,ASSAM,2004
1390,BIHAR,2004
969,CHHATTISGARH,2004
37,GOA,2004
339,GUJARAT,2004
386,HARYANA,2004
153,"HIMACHAL PRADESH",2004
218,"JAMMU & KASHMIR",2004
797,JHARKHAND,2004
291,KARNATAKA,2004
480,KERALA,2004
2875,"MADHYA PRADESH",2004
1388,MAHARASHTRA,2004
31,MANIPUR,2004
54,MEGHALAYA,2004
20,MIZORAM,2004
18,NAGALAND,2004
770,ODISHA,2004
390,PUNJAB,2004
1038,RAJASTHAN,2004
3,SIKKIM,2004
618,"TAMIL NADU",2004
160,TRIPURA,2004
1397,"UTTAR PRADESH",2004
115,UTTARAKHAND,2004
1475,"WEST BENGAL",2004
10,"A & N ISLANDS",2004
19,CHANDIGARH,2004
7,"D & N HAVELI",2004
1,"DAMAN & DIU",2004
551,DELHI,2004
0,LAKSHADWEEP,2004
4,PUDUCHERRY,2004
935,"ANDHRA PRADESH",2005
35,"ARUNACHAL PRADESH",2005
1238,ASSAM,2005
1147,BIHAR,2005
990,CHHATTISGARH,2005
20,GOA,2005
324,GUJARAT,2005
461,HARYANA,2005
141,"HIMACHAL PRADESH",2005
201,"JAMMU & KASHMIR",2005
753,JHARKHAND,2005
343,KARNATAKA,2005
478,KERALA,2005
2921,"MADHYA PRADESH",2005
1545,MAHARASHTRA,2005
25,MANIPUR,2005
63,MEGHALAYA,2005
37,MIZORAM,2005
17,NAGALAND,2005
799,ODISHA,2005
398,PUNJAB,2005
993,RAJASTHAN,2005
18,SIKKIM,2005
571,"TAMIL NADU",2005
162,TRIPURA,2005
1217,"UTTAR PRADESH",2005
133,UTTARAKHAND,2005
1686,"WEST BENGAL",2005
4,"A & N ISLANDS",2005
33,CHANDIGARH,2005
5,"D & N HAVELI",2005
2,"DAMAN & DIU",2005
658,DELHI,2005
0,LAKSHADWEEP,2005
6,PUDUCHERRY,2005
1049,"ANDHRA PRADESH",2006
37,"ARUNACHAL PRADESH",2006
1244,ASSAM,2006
1232,BIHAR,2006
995,CHHATTISGARH,2006
21,GOA,2006
354,GUJARAT,2006
608,HARYANA,2006
113,"HIMACHAL PRADESH",2006
250,"JAMMU & KASHMIR",2006
799,JHARKHAND,2006
400,KARNATAKA,2006
601,KERALA,2006
2900,"MADHYA PRADESH",2006
1500,MAHARASHTRA,2006
40,MANIPUR,2006
74,MEGHALAYA,2006
72,MIZORAM,2006
23,NAGALAND,2006
985,ODISHA,2006
442,PUNJAB,2006
1085,RAJASTHAN,2006
20,SIKKIM,2006
457,"TAMIL NADU",2006
189,TRIPURA,2006
1314,"UTTAR PRADESH",2006
147,UTTARAKHAND,2006
1731,"WEST BENGAL",2006
6,"A & N ISLANDS",2006
19,CHANDIGARH,2006
6,"D & N HAVELI",2006
3,"DAMAN & DIU",2006
623,DELHI,2006
0,LAKSHADWEEP,2006
9,PUDUCHERRY,2006
1070,"ANDHRA PRADESH",2007
48,"ARUNACHAL PRADESH",2007
1437,ASSAM,2007
1555,BIHAR,2007
982,CHHATTISGARH,2007
20,GOA,2007
316,GUJARAT,2007
488,HARYANA,2007
159,"HIMACHAL PRADESH",2007
288,"JAMMU & KASHMIR",2007
855,JHARKHAND,2007
436,KARNATAKA,2007
512,KERALA,2007
3010,"MADHYA PRADESH",2007
1451,MAHARASHTRA,2007
20,MANIPUR,2007
82,MEGHALAYA,2007
83,MIZORAM,2007
13,NAGALAND,2007
939,ODISHA,2007
519,PUNJAB,2007
1238,RAJASTHAN,2007
24,SIKKIM,2007
523,"TAMIL NADU",2007
157,TRIPURA,2007
1648,"UTTAR PRADESH",2007
117,UTTARAKHAND,2007
2106,"WEST BENGAL",2007
3,"A & N ISLANDS",2007
22,CHANDIGARH,2007
7,"D & N HAVELI",2007
1,"DAMAN & DIU",2007
598,DELHI,2007
1,LAKSHADWEEP,2007
9,PUDUCHERRY,2007
1257,"ANDHRA PRADESH",2008
42,"ARUNACHAL PRADESH",2008
1438,ASSAM,2008
1302,BIHAR,2008
978,CHHATTISGARH,2008
30,GOA,2008
374,GUJARAT,2008
631,HARYANA,2008
157,"HIMACHAL PRADESH",2008
219,"JAMMU & KASHMIR",2008
791,JHARKHAND,2008
446,KARNATAKA,2008
568,KERALA,2008
2937,"MADHYA PRADESH",2008
1558,MAHARASHTRA,2008
38,MANIPUR,2008
88,MEGHALAYA,2008
77,MIZORAM,2008
19,NAGALAND,2008
1113,ODISHA,2008
517,PUNJAB,2008
1355,RAJASTHAN,2008
20,SIKKIM,2008
573,"TAMIL NADU",2008
204,TRIPURA,2008
1871,"UTTAR PRADESH",2008
87,UTTARAKHAND,2008
2263,"WEST BENGAL",2008
12,"A & N ISLANDS",2008
20,CHANDIGARH,2008
6,"D & N HAVELI",2008
0,"DAMAN & DIU",2008
466,DELHI,2008
2,LAKSHADWEEP,2008
8,PUDUCHERRY,2008
1188,"ANDHRA PRADESH",2009
59,"ARUNACHAL PRADESH",2009
1631,ASSAM,2009
929,BIHAR,2009
976,CHHATTISGARH,2009
47,GOA,2009
433,GUJARAT,2009
603,HARYANA,2009
183,"HIMACHAL PRADESH",2009
237,"JAMMU & KASHMIR",2009
719,JHARKHAND,2009
509,KARNATAKA,2009
568,KERALA,2009
2998,"MADHYA PRADESH",2009
1483,MAHARASHTRA,2009
31,MANIPUR,2009
112,MEGHALAYA,2009
83,MIZORAM,2009
22,NAGALAND,2009
1023,ODISHA,2009
511,PUNJAB,2009
1519,RAJASTHAN,2009
18,SIKKIM,2009
596,"TAMIL NADU",2009
190,TRIPURA,2009
1759,"UTTAR PRADESH",2009
111,UTTARAKHAND,2009
2336,"WEST BENGAL",2009
18,"A & N ISLANDS",2009
29,CHANDIGARH,2009
4,"D & N HAVELI",2009
1,"DAMAN & DIU",2009
469,DELHI,2009
1,LAKSHADWEEP,2009
1,PUDUCHERRY,2009
1362,"ANDHRA PRADESH",2010
47,"ARUNACHAL PRADESH",2010
1721,ASSAM,2010
795,BIHAR,2010
1012,CHHATTISGARH,2010
36,GOA,2010
408,GUJARAT,2010
720,HARYANA,2010
160,"HIMACHAL PRADESH",2010
245,"JAMMU & KASHMIR",2010
773,JHARKHAND,2010
586,KARNATAKA,2010
634,KERALA,2010
3135,"MADHYA PRADESH",2010
1599,MAHARASHTRA,2010
34,MANIPUR,2010
149,MEGHALAYA,2010
92,MIZORAM,2010
16,NAGALAND,2010
1025,ODISHA,2010
546,PUNJAB,2010
1571,RAJASTHAN,2010
18,SIKKIM,2010
686,"TAMIL NADU",2010
238,TRIPURA,2010
1563,"UTTAR PRADESH",2010
121,UTTARAKHAND,2010
2311,"WEST BENGAL",2010
24,"A & N ISLANDS",2010
31,CHANDIGARH,2010
3,"D & N HAVELI",2010
1,"DAMAN & DIU",2010
507,DELHI,2010
0,LAKSHADWEEP,2010
3,PUDUCHERRY,2010
1442,"ANDHRA PRADESH",2011
42,"ARUNACHAL PRADESH",2011
1700,ASSAM,2011
934,BIHAR,2011
1053,CHHATTISGARH,2011
29,GOA,2011
439,GUJARAT,2011
733,HARYANA,2011
168,"HIMACHAL PRADESH",2011
277,"JAMMU & KASHMIR",2011
784,JHARKHAND,2011
636,KARNATAKA,2011
1132,KERALA,2011
3406,"MADHYA PRADESH",2011
1701,MAHARASHTRA,2011
53,MANIPUR,2011
130,MEGHALAYA,2011
77,MIZORAM,2011
23,NAGALAND,2011
1112,ODISHA,2011
479,PUNJAB,2011
1800,RAJASTHAN,2011
16,SIKKIM,2011
677,"TAMIL NADU",2011
205,TRIPURA,2011
2042,"UTTAR PRADESH",2011
129,UTTARAKHAND,2011
2363,"WEST BENGAL",2011
13,"A & N ISLANDS",2011
27,CHANDIGARH,2011
4,"D & N HAVELI",2011
1,"DAMAN & DIU",2011
572,DELHI,2011
0,LAKSHADWEEP,2011
7,PUDUCHERRY,2011
1341,"ANDHRA PRADESH",2012
46,"ARUNACHAL PRADESH",2012
1716,ASSAM,2012
927,BIHAR,2012
1034,CHHATTISGARH,2012
55,GOA,2012
473,GUJARAT,2012
668,HARYANA,2012
183,"HIMACHAL PRADESH",2012
303,"JAMMU & KASHMIR",2012
812,JHARKHAND,2012
621,KARNATAKA,2012
1019,KERALA,2012
3425,"MADHYA PRADESH",2012
1839,MAHARASHTRA,2012
63,MANIPUR,2012
164,MEGHALAYA,2012
103,MIZORAM,2012
21,NAGALAND,2012
1458,ODISHA,2012
680,PUNJAB,2012
2049,RAJASTHAN,2012
34,SIKKIM,2012
737,"TAMIL NADU",2012
229,TRIPURA,2012
1963,"UTTAR PRADESH",2012
148,UTTARAKHAND,2012
2046,"WEST BENGAL",2012
12,"A & N ISLANDS",2012
27,CHANDIGARH,2012
3,"D & N HAVELI",2012
5,"DAMAN & DIU",2012
706,DELHI,2012
0,LAKSHADWEEP,2012
13,PUDUCHERRY,2012
