Max_Rape,Kidnapping,STATES,year,DISTRICT
50,78,"UTTAR PRADESH",2001,ALIGARH
42,75,"UTTAR PRADESH",2001,ALLAHABAD
19,29,"UTTAR PRADESH",2001,"AMBEDKAR NAGAR"
11,25,"UTTAR PRADESH",2001,AURAIYA
11,41,"UTTAR PRADESH",2001,AZAMGARH
47,41,"UTTAR PRADESH",2001,BADAUN
15,17,"UTTAR PRADESH",2001,BAGHPAT
14,19,"UTTAR PRADESH",2001,BAHRAICH
18,17,"UTTAR PRADESH",2001,BALLIA
8,19,"UTTAR PRADESH",2001,BALRAMPUR
27,18,"UTTAR PRADESH",2001,BANDA
41,55,"UTTAR PRADESH",2001,BARABANKI
93,98,"UTTAR PRADESH",2001,BAREILLY
18,23,"UTTAR PRADESH",2001,BASTI
38,59,"UTTAR PRADESH",2001,BIJNOR
31,64,"UTTAR PRADESH",2001,BULANDSHAHAR
4,11,"UTTAR PRADESH",2001,CHANDOLI
8,3,"UTTAR PRADESH",2001,"CHITRAKOOT DHAM"
7,33,"UTTAR PRADESH",2001,DEORIA
57,59,"UTTAR PRADESH",2001,ETAH
20,22,"UTTAR PRADESH",2001,ETAWAH
22,26,"UTTAR PRADESH",2001,FAIZABAD
9,38,"UTTAR PRADESH",2001,FATEHGARH
28,27,"UTTAR PRADESH",2001,FATEHPUR
22,59,"UTTAR PRADESH",2001,FIROZABAD
2,2,"UTTAR PRADESH",2001,G.R.P.
16,30,"UTTAR PRADESH",2001,"GAUTAMBUDH NAGAR"
31,79,"UTTAR PRADESH",2001,GHAZIABAD
6,19,"UTTAR PRADESH",2001,GHAZIPUR
18,21,"UTTAR PRADESH",2001,GONDA
13,52,"UTTAR PRADESH",2001,GORAKHPUR
14,16,"UTTAR PRADESH",2001,HAMIRPUR
70,60,"UTTAR PRADESH",2001,HARDOI
16,26,"UTTAR PRADESH",2001,HATHRAS
23,36,"UTTAR PRADESH",2001,J.P.NAGAR
6,14,"UTTAR PRADESH",2001,JALAUN
11,15,"UTTAR PRADESH",2001,JAUNPUR
18,20,"UTTAR PRADESH",2001,JHANSI
8,19,"UTTAR PRADESH",2001,KANNAUJ
21,34,"UTTAR PRADESH",2001,"KANPUR DEHAT"
47,176,"UTTAR PRADESH",2001,"KANPUR NAGAR"
26,23,"UTTAR PRADESH",2001,KAUSHAMBI
83,90,"UTTAR PRADESH",2001,KHIRI
7,20,"UTTAR PRADESH",2001,"KUSHI NAGAR"
20,5,"UTTAR PRADESH",2001,LALITPUR
62,138,"UTTAR PRADESH",2001,LUCKNOW
13,13,"UTTAR PRADESH",2001,MAHARAJGANJ
12,7,"UTTAR PRADESH",2001,MAHOBA
13,31,"UTTAR PRADESH",2001,MAINPURI
25,33,"UTTAR PRADESH",2001,MATHURA
17,25,"UTTAR PRADESH",2001,MAU
28,96,"UTTAR PRADESH",2001,MEERUT
16,6,"UTTAR PRADESH",2001,MIRZAPUR
44,72,"UTTAR PRADESH",2001,MORADABAD
54,67,"UTTAR PRADESH",2001,MUZAFFARNAGAR
64,47,"UTTAR PRADESH",2001,PILIBHIT
18,35,"UTTAR PRADESH",2001,PRATAPGARH
58,50,"UTTAR PRADESH",2001,RAIBAREILLY
22,27,"UTTAR PRADESH",2001,RAMPUR
41,52,"UTTAR PRADESH",2001,SAHARANPUR
9,16,"UTTAR PRADESH",2001,"SANT KABIRNAGAR"
55,68,"UTTAR PRADESH",2001,SHAHJAHANPUR
13,18,"UTTAR PRADESH",2001,SHRAWASTI
12,24,"UTTAR PRADESH",2001,SIDHARTHNAGAR
85,47,"UTTAR PRADESH",2001,SITAPUR
5,6,"UTTAR PRADESH",2001,SONBHADRA
1,7,"UTTAR PRADESH",2001,ST.RAVIDASNAGAR
29,35,"UTTAR PRADESH",2001,SULTANPUR
53,79,"UTTAR PRADESH",2001,UNNAO
27,35,"UTTAR PRADESH",2001,VARANASI
1958,2879,"UTTAR PRADESH",2001,TOTAL
4,1,UTTARAKHAND,2001,ALMORA
1,4,UTTARAKHAND,2001,BAGESHWAR
3,3,UTTARAKHAND,2001,CHAMOLI
0,3,UTTARAKHAND,2001,CHAMPAWAT
12,48,UTTARAKHAND,2001,DEHRADUN
13,23,UTTARAKHAND,2001,HARIDWAR
5,0,UTTARAKHAND,2001,NAINITAL
7,7,UTTARAKHAND,2001,"PAURI GARHWAL"
7,0,UTTARAKHAND,2001,PITHORAGARH
2,0,UTTARAKHAND,2001,"RUDRA PRAYAG"
2,5,UTTARAKHAND,2001,"TEHRI GARHWAL"
10,29,UTTARAKHAND,2001,"UDHAMSINGH NAGAR"
8,3,UTTARAKHAND,2001,UTTARKASHI
74,126,UTTARAKHAND,2001,TOTAL
53,63,"WEST BENGAL",2001,"24 PARGANAS NORTH"
47,52,"WEST BENGAL",2001,"24 PARGANAS SOUTH"
0,0,"WEST BENGAL",2001,ASANSOL
26,5,"WEST BENGAL",2001,BANKURA
43,28,"WEST BENGAL",2001,BIRBHUM
46,32,"WEST BENGAL",2001,BURDWAN
36,41,"WEST BENGAL",2001,COOCHBEHAR
10,28,"WEST BENGAL",2001,"DAKSHIN DINAJPUR"
20,20,"WEST BENGAL",2001,DARJEELING
29,38,"WEST BENGAL",2001,HOOGHLY
2,5,"WEST BENGAL",2001,HOWRAH
7,10,"WEST BENGAL",2001,"HOWRAH CITY"
1,4,"WEST BENGAL",2001,"HOWRAH G.R.P."
54,24,"WEST BENGAL",2001,JALPAIGURI
19,78,"WEST BENGAL",2001,KOLKATA
40,23,"WEST BENGAL",2001,MALDA
84,74,"WEST BENGAL",2001,MIDNAPUR
66,46,"WEST BENGAL",2001,MURSHIDABAD
71,90,"WEST BENGAL",2001,NADIA
23,15,"WEST BENGAL",2001,PURULIA
1,1,"WEST BENGAL",2001,"SEALDAH G.R.P."
0,0,"WEST BENGAL",2001,"SILIGURI G.R.P."
31,18,"WEST BENGAL",2001,"UTTAR DINAJPUR"
709,695,"WEST BENGAL",2001,TOTAL
3,2,"A & N ISLANDS",2001,ANDAMAN
0,0,"A & N ISLANDS",2001,NICOBAR
3,2,"A & N ISLANDS",2001,TOTAL
18,50,CHANDIGARH,2001,CHANDIGARH
18,50,CHANDIGARH,2001,TOTAL
6,2,"D & N HAVELI",2001,"D and N HAVELI"
6,2,"D & N HAVELI",2001,TOTAL
0,3,"DAMAN & DIU",2001,DAMAN
0,0,"DAMAN & DIU",2001,DIU
0,3,"DAMAN & DIU",2001,TOTAL
28,42,DELHI,2001,CENTRAL
381,964,DELHI,2001,"DELHI UT TOTAL"
24,39,DELHI,2001,EAST
1,7,DELHI,2001,G.R.P.(RLY)
0,1,DELHI,2001,"I.G.I. AIRPORT"
9,19,DELHI,2001,"NEW DELHI"
28,53,DELHI,2001,NORTH
36,123,DELHI,2001,"NORTH EAST"
103,298,DELHI,2001,"NORTH WEST"
0,0,DELHI,2001,S.T.F.
65,170,DELHI,2001,SOUTH
42,113,DELHI,2001,"SOUTH WEST"
45,99,DELHI,2001,WEST
0,0,LAKSHADWEEP,2001,LAKSHADWEEP
0,0,LAKSHADWEEP,2001,TOTAL
9,3,PUDUCHERRY,2001,PONDICHERRY
9,3,PUDUCHERRY,2001,TOTAL
37,32,"ANDHRA PRADESH",2002,ADILABAD
28,49,"ANDHRA PRADESH",2002,ANANTAPUR
28,39,"ANDHRA PRADESH",2002,CHITTOOR
16,22,"ANDHRA PRADESH",2002,CUDDAPAH
25,5,"ANDHRA PRADESH",2002,"EAST GODAVARI"
1,0,"ANDHRA PRADESH",2002,"GUNTAKAL RLY."
46,71,"ANDHRA PRADESH",2002,GUNTUR
57,61,"ANDHRA PRADESH",2002,"HYDERABAD CITY"
99,42,"ANDHRA PRADESH",2002,KARIMNAGAR
48,55,"ANDHRA PRADESH",2002,KHAMMAM
41,21,"ANDHRA PRADESH",2002,KRISHNA
45,24,"ANDHRA PRADESH",2002,KURNOOL
85,36,"ANDHRA PRADESH",2002,MAHABOOBNAGAR
68,38,"ANDHRA PRADESH",2002,MEDAK
41,37,"ANDHRA PRADESH",2002,NALGONDA
46,54,"ANDHRA PRADESH",2002,NELLORE
35,21,"ANDHRA PRADESH",2002,NIZAMABAD
21,25,"ANDHRA PRADESH",2002,PRAKASHAM
49,70,"ANDHRA PRADESH",2002,"RANGA REDDY"
0,0,"ANDHRA PRADESH",2002,"SECUNDERABAD RLY."
14,9,"ANDHRA PRADESH",2002,SRIKAKULAM
31,43,"ANDHRA PRADESH",2002,VIJAYAWADA
1,0,"ANDHRA PRADESH",2002,"VIJAYAWADA RLY."
14,0,"ANDHRA PRADESH",2002,"VISAKHA RURAL"
8,10,"ANDHRA PRADESH",2002,VISAKHAPATNAM
12,0,"ANDHRA PRADESH",2002,VIZIANAGARAM
52,58,"ANDHRA PRADESH",2002,WARANGAL
54,32,"ANDHRA PRADESH",2002,"WEST GODAVARI"
1002,854,"ANDHRA PRADESH",2002,TOTAL
3,2,"ARUNACHAL PRADESH",2002,CHANGLANG
5,5,"ARUNACHAL PRADESH",2002,"DIBANG VALLEY"
1,3,"ARUNACHAL PRADESH",2002,"KAMENG EAST"
0,1,"ARUNACHAL PRADESH",2002,"KAMENG WEST"
3,3,"ARUNACHAL PRADESH",2002,LOHIT
3,6,"ARUNACHAL PRADESH",2002,"PAPUM PARE"
11,8,"ARUNACHAL PRADESH",2002,"SIANG EAST"
3,0,"ARUNACHAL PRADESH",2002,"SIANG UPPER"
4,6,"ARUNACHAL PRADESH",2002,"SIANG WEST"
1,3,"ARUNACHAL PRADESH",2002,"SUBANSIRI LOWER"
2,1,"ARUNACHAL PRADESH",2002,"SUBANSIRI UPPER"
1,0,"ARUNACHAL PRADESH",2002,TAWANG
1,0,"ARUNACHAL PRADESH",2002,TIRAP
38,38,"ARUNACHAL PRADESH",2002,TOTAL
55,59,ASSAM,2002,BARPETA
21,40,ASSAM,2002,BONGAIGAON
0,2,ASSAM,2002,C.I.D.
71,80,ASSAM,2002,CACHAR
33,41,ASSAM,2002,DARRANG
48,25,ASSAM,2002,DHEMAJI
46,51,ASSAM,2002,DHUBRI
45,58,ASSAM,2002,DIBRUGARH
0,0,ASSAM,2002,G.R.P.
40,29,ASSAM,2002,GOALPARA
42,60,ASSAM,2002,GOLAGHAT
60,144,ASSAM,2002,"GUWAHATI CITY"
24,42,ASSAM,2002,HAILAKANDI
36,32,ASSAM,2002,JORHAT
41,104,ASSAM,2002,KAMRUP
5,9,ASSAM,2002,"KARBI ANGLONG"
23,7,ASSAM,2002,KARIMGANJ
15,18,ASSAM,2002,KOKRAJHAR
69,74,ASSAM,2002,LAKHIMPUR
40,34,ASSAM,2002,MORIGAON
2,6,ASSAM,2002,N.C.HILLS
61,124,ASSAM,2002,NAGAON
27,31,ASSAM,2002,NALBARI
1,1,ASSAM,2002,R.P.O.
57,57,ASSAM,2002,SIBSAGAR
67,109,ASSAM,2002,SONITPUR
41,39,ASSAM,2002,TINSUKIA
970,1276,ASSAM,2002,TOTAL
101,79,BIHAR,2002,ARARIA
0,0,BIHAR,2002,ARWAL
12,3,BIHAR,2002,AURANGABAD
23,3,BIHAR,2002,BAGAHA
27,9,BIHAR,2002,BANKA
20,15,BIHAR,2002,BEGUSARAI
55,10,BIHAR,2002,BETTIAH
17,7,BIHAR,2002,BHABHUA
40,51,BIHAR,2002,BHAGALPUR
17,17,BIHAR,2002,BHOJPUR
17,0,BIHAR,2002,BUXAR
52,31,BIHAR,2002,DARBHANGA
31,18,BIHAR,2002,GAYA
16,16,BIHAR,2002,GOPALGANJ
0,1,BIHAR,2002,"JAMALPUR RLY."
15,13,BIHAR,2002,JAMUI
7,9,BIHAR,2002,JEHANABAD
77,69,BIHAR,2002,KATIHAR
2,1,BIHAR,2002,"KATIHAR RLY."
15,14,BIHAR,2002,KHAGARIA
20,26,BIHAR,2002,KISHANGANJ
2,6,BIHAR,2002,LAKHISARAI
10,7,BIHAR,2002,MADHEPURA
31,15,BIHAR,2002,MADHUBANI
41,37,BIHAR,2002,MOTIHARI
11,27,BIHAR,2002,MUNGER
60,22,BIHAR,2002,MUZAFFARPUR
2,3,BIHAR,2002,"MUZAFFARPUR RLY."
32,22,BIHAR,2002,NALANDA
11,6,BIHAR,2002,NAUGACHIA
34,8,BIHAR,2002,NAWADAH
37,36,BIHAR,2002,PATNA
2,0,BIHAR,2002,"PATNA RLY."
46,17,BIHAR,2002,PURNEA
15,10,BIHAR,2002,ROHTAS
11,10,BIHAR,2002,SAHARSA
22,21,BIHAR,2002,SAMASTIPUR
12,10,BIHAR,2002,SARAN
6,0,BIHAR,2002,SHEIKHPURA
14,6,BIHAR,2002,SHEOHAR
31,22,BIHAR,2002,SITAMARHI
8,26,BIHAR,2002,SIWAN
22,0,BIHAR,2002,SUPAUL
16,41,BIHAR,2002,VAISHALI
1040,744,BIHAR,2002,TOTAL
30,2,CHHATTISGARH,2002,BALRAMPUR
72,15,CHHATTISGARH,2002,BILASPUR
7,2,CHHATTISGARH,2002,BIZAPUR
9,4,CHHATTISGARH,2002,DANTEWARA
26,0,CHHATTISGARH,2002,DHAMTARI
132,23,CHHATTISGARH,2002,DURG
5,0,CHHATTISGARH,2002,"GRP RAIPUR"
46,16,CHHATTISGARH,2002,JAGDALPUR
42,6,CHHATTISGARH,2002,JANJGIR
35,0,CHHATTISGARH,2002,JASHPUR
20,0,CHHATTISGARH,2002,KABIRDHAM
37,6,CHHATTISGARH,2002,KANKER
38,3,CHHATTISGARH,2002,KORBA
58,6,CHHATTISGARH,2002,KORIYA
33,5,CHHATTISGARH,2002,MAHASAMUND
39,5,CHHATTISGARH,2002,RAIGARH
159,35,CHHATTISGARH,2002,RAIPUR
62,7,CHHATTISGARH,2002,RAJNANDGAON
142,19,CHHATTISGARH,2002,SARGUJA
992,154,CHHATTISGARH,2002,TOTAL
9,3,GOA,2002,"NORTH GOA"
3,2,GOA,2002,"SOUTH GOA"
12,5,GOA,2002,TOTAL
12,92,GUJARAT,2002,"AHMEDABAD COMMR."
7,11,GUJARAT,2002,"AHMEDABAD RURAL"
4,1,GUJARAT,2002,AHWA-DANG
4,23,GUJARAT,2002,AMRELI
8,33,GUJARAT,2002,ANAND
7,23,GUJARAT,2002,BHARUCH
9,39,GUJARAT,2002,BHAVNAGAR
14,9,GUJARAT,2002,DAHOD
7,19,GUJARAT,2002,GANDHINAGAR
11,37,GUJARAT,2002,HIMATNAGAR
25,30,GUJARAT,2002,JAMNAGAR
10,41,GUJARAT,2002,JUNAGADH
9,29,GUJARAT,2002,"KHEDA NORTH"
3,35,GUJARAT,2002,KUTCH
13,36,GUJARAT,2002,MEHSANA
7,2,GUJARAT,2002,NARMADA
5,11,GUJARAT,2002,NAVSARI
16,39,GUJARAT,2002,PALANPUR
4,22,GUJARAT,2002,PANCHMAHAL
3,28,GUJARAT,2002,PATAN
4,8,GUJARAT,2002,PORBANDAR
6,29,GUJARAT,2002,"RAJKOT COMMR."
15,37,GUJARAT,2002,"RAJKOT RURAL"
18,36,GUJARAT,2002,"SURAT COMMR."
10,15,GUJARAT,2002,"SURAT RURAL"
13,29,GUJARAT,2002,SURENDRANAGAR
5,28,GUJARAT,2002,"VADODARA COMMR."
12,42,GUJARAT,2002,"VADODARA RURAL"
3,16,GUJARAT,2002,VALSAD
3,7,GUJARAT,2002,W.RLY
267,807,GUJARAT,2002,TOTAL
15,18,HARYANA,2002,AMBALA
17,13,HARYANA,2002,BHIWANI
37,39,HARYANA,2002,FARIDABAD
7,15,HARYANA,2002,FATEHABAD
1,0,HARYANA,2002,GRP
27,36,HARYANA,2002,GURGAON
15,21,HARYANA,2002,HISSAR
18,12,HARYANA,2002,JHAJJAR
19,9,HARYANA,2002,JIND
7,4,HARYANA,2002,KAITHAL
37,8,HARYANA,2002,KARNAL
15,14,HARYANA,2002,KURUKSHETRA
16,9,HARYANA,2002,MAHENDRAGARH
13,17,HARYANA,2002,PANCHKULA
43,21,HARYANA,2002,PANIPAT
10,7,HARYANA,2002,REWARI
17,10,HARYANA,2002,ROHTAK
20,3,HARYANA,2002,SIRSA
14,16,HARYANA,2002,SONIPAT
13,18,HARYANA,2002,YAMUNANAGAR
361,290,HARYANA,2002,TOTAL
9,3,"HIMACHAL PRADESH",2002,BILASPUR
16,10,"HIMACHAL PRADESH",2002,CHAMBA
0,0,"HIMACHAL PRADESH",2002,G.R.P.
3,14,"HIMACHAL PRADESH",2002,HAMIRPUR
14,17,"HIMACHAL PRADESH",2002,KANGRA
4,3,"HIMACHAL PRADESH",2002,KINNAUR
14,11,"HIMACHAL PRADESH",2002,KULLU
0,0,"HIMACHAL PRADESH",2002,LAHAUL-SPITI
24,8,"HIMACHAL PRADESH",2002,MANDI
27,18,"HIMACHAL PRADESH",2002,SHIMLA
11,10,"HIMACHAL PRADESH",2002,SIRMAUR
9,16,"HIMACHAL PRADESH",2002,SOLAN
6,6,"HIMACHAL PRADESH",2002,UNA
137,116,"HIMACHAL PRADESH",2002,TOTAL
16,58,"JAMMU & KASHMIR",2002,ANANTNAG
1,15,"JAMMU & KASHMIR",2002,AWANTIPORA
14,78,"JAMMU & KASHMIR",2002,BARAMULLA
5,13,"JAMMU & KASHMIR",2002,BORDER
12,33,"JAMMU & KASHMIR",2002,BUDGAM
0,0,"JAMMU & KASHMIR",2002,"CRIME JAMMU"
0,0,"JAMMU & KASHMIR",2002,"CRIME SRINAGAR"
15,19,"JAMMU & KASHMIR",2002,DODA
7,39,"JAMMU & KASHMIR",2002,GANDERBAL
0,15,"JAMMU & KASHMIR",2002,HANDWARA
7,56,"JAMMU & KASHMIR",2002,JAMMU
1,2,"JAMMU & KASHMIR",2002,KARGIL
11,13,"JAMMU & KASHMIR",2002,KATHUA
7,39,"JAMMU & KASHMIR",2002,KULGAM
5,24,"JAMMU & KASHMIR",2002,KUPWARA
3,1,"JAMMU & KASHMIR",2002,LEH
9,7,"JAMMU & KASHMIR",2002,POONCH
12,41,"JAMMU & KASHMIR",2002,PULWAMA
0,0,"JAMMU & KASHMIR",2002,RAILWAYS
13,13,"JAMMU & KASHMIR",2002,RAJOURI
7,6,"JAMMU & KASHMIR",2002,RAMBAN
8,11,"JAMMU & KASHMIR",2002,REASI
24,106,"JAMMU & KASHMIR",2002,SRINAGAR
15,7,"JAMMU & KASHMIR",2002,UDHAMPUR
192,596,"JAMMU & KASHMIR",2002,TOTAL
48,26,JHARKHAND,2002,BOKARO
37,9,JHARKHAND,2002,CHAIBASA
18,1,JHARKHAND,2002,CHATRA
37,2,JHARKHAND,2002,DEOGHAR
38,25,JHARKHAND,2002,DHANBAD
2,1,JHARKHAND,2002,"DHANBAD RLY."
50,3,JHARKHAND,2002,DUMKA
32,2,JHARKHAND,2002,GARHWA
39,8,JHARKHAND,2002,GIRIDIH
86,6,JHARKHAND,2002,GODDA
31,8,JHARKHAND,2002,GUMLA
71,18,JHARKHAND,2002,HAZARIBAGH
76,18,JHARKHAND,2002,JAMSHEDPUR
1,1,JHARKHAND,2002,"JAMSHEDPUR RLY."
25,2,JHARKHAND,2002,JAMTARA
6,4,JHARKHAND,2002,KODERMA
12,2,JHARKHAND,2002,LATEHAR
14,1,JHARKHAND,2002,LOHARDAGGA
37,1,JHARKHAND,2002,PAKUR
14,8,JHARKHAND,2002,PALAMU
55,22,JHARKHAND,2002,RANCHI
26,5,JHARKHAND,2002,SAHEBGANJ
26,4,JHARKHAND,2002,SARAIKELA
16,1,JHARKHAND,2002,SIMDEGA
797,178,JHARKHAND,2002,TOTAL
4,7,KARNATAKA,2002,BAGALKOT
32,58,KARNATAKA,2002,"BANGALORE COMMR."
22,0,KARNATAKA,2002,"BANGALORE RURAL"
6,16,KARNATAKA,2002,BELGAUM
11,8,KARNATAKA,2002,BELLARY
8,13,KARNATAKA,2002,BIDAR
3,24,KARNATAKA,2002,BIJAPUR
4,3,KARNATAKA,2002,CHAMARAJNAGAR
18,9,KARNATAKA,2002,CHICKMAGALUR
12,4,KARNATAKA,2002,CHITRADURGA
9,0,KARNATAKA,2002,"DAKSHIN KANNADA"
14,15,KARNATAKA,2002,DAVANAGERE
1,7,KARNATAKA,2002,"DHARWAD COMMR."
0,0,KARNATAKA,2002,"DHARWAD RURAL"
3,3,KARNATAKA,2002,GADAG
24,32,KARNATAKA,2002,GULBARGA
11,0,KARNATAKA,2002,HASSAN
2,7,KARNATAKA,2002,HAVERI
6,0,KARNATAKA,2002,K.G.F.
4,1,KARNATAKA,2002,KODAGU
18,12,KARNATAKA,2002,KOLAR
6,26,KARNATAKA,2002,KOPPAL
30,0,KARNATAKA,2002,MANDYA
7,5,KARNATAKA,2002,"MYSORE COMMR."
5,7,KARNATAKA,2002,"MYSORE RURAL"
6,16,KARNATAKA,2002,RAICHUR
0,0,KARNATAKA,2002,RAILWAYS
11,12,KARNATAKA,2002,SHIMOGA
9,10,KARNATAKA,2002,TUMKUR
